protein_group_id,pocket_id,pocket_pdb,representative_protein_pdb,pocket_residue_count,merged_source_count,merged_source_ids_file,dataset_label
protein_group_000010,pocket-2,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000010/protein_group_000010_pocket-2.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000010/protein_group_000010_protein.pdb,43,39,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000010/protein_group_000010_pocket-2_source_ids.txt,template
protein_group_000010,pocket-3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000010/protein_group_000010_pocket-3.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000010/protein_group_000010_protein.pdb,18,1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000010/protein_group_000010_pocket-3_source_ids.txt,template
protein_group_000011,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000011/protein_group_000011_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000011/protein_group_000011_protein.pdb,161,71,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000011/protein_group_000011_pocket-1_source_ids.txt,template
protein_group_000011,pocket-2,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000011/protein_group_000011_pocket-2.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000011/protein_group_000011_protein.pdb,108,2,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000011/protein_group_000011_pocket-2_source_ids.txt,template
protein_group_000011,pocket-3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000011/protein_group_000011_pocket-3.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000011/protein_group_000011_protein.pdb,105,9,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000011/protein_group_000011_pocket-3_source_ids.txt,template
protein_group_000011,pocket-4,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000011/protein_group_000011_pocket-4.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000011/protein_group_000011_protein.pdb,99,15,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000011/protein_group_000011_pocket-4_source_ids.txt,template
protein_group_000011,pocket-5,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000011/protein_group_000011_pocket-5.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000011/protein_group_000011_protein.pdb,37,6,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000011/protein_group_000011_pocket-5_source_ids.txt,template
protein_group_000011,pocket-6,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000011/protein_group_000011_pocket-6.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000011/protein_group_000011_protein.pdb,24,1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000011/protein_group_000011_pocket-6_source_ids.txt,template
protein_group_000011,pocket-7,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000011/protein_group_000011_pocket-7.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000011/protein_group_000011_protein.pdb,23,1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000011/protein_group_000011_pocket-7_source_ids.txt,template
protein_group_000012,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000012/protein_group_000012_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000012/protein_group_000012_protein.pdb,124,70,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000012/protein_group_000012_pocket-1_source_ids.txt,template
