source_id,smiles,molecule_name
89,CC1=C2[C@H]([C@@H]([C@@]3([C@H](C[C@@H](C(=C)[C@H]3[C@@H]([C@@H](C2(C)C)CC1=O)OC(=O)C)OC(=O)/C=C/C4=CC=CC=C4)OC(=O)C)C)OC(=O)C)OC(=O)C,Taxinine B
90,O[C@H]1C(O)[C@]2(C([C@H](O)C(C(C)(C)C1=C3C)(O)CC3=O)C([C@H](CC2)OC(/C=C/C4=CC=CC=C4)=O)=C)C,"5alpha-Cinnamoyloxy-1beta,2alpha,9alpha,10beta-tetra-hydroxytaxa-4(20),11-dien-13-one"
91,CC1=C2[C@H]([C@@H]([C@@]3(CC[C@@H](C(=C)[C@H]3[C@@H]([C@@](C2(C)C)(CC1=O)O)O)OC(=O)/C=C/C4=CC=CC=C4)C)O)OC(=O)C,5-cinnamoyl-10-acetyltaxicin I
92,CC1=C2[C@H]([C@@H]([C@@]3(CC[C@@H](C(=C)[C@H]3[C@@H]([C@@](C2(C)C)(CC1=O)O)O)OC(=O)/C=C/C4=CC=CC=C4)C)O)O,O-Cinnamoyltaxicin I
93,CC1=C2[C@H]([C@@H]([C@@]3(CC[C@@H](C(=C)[C@H]3[C@@H]([C@@](C2(C)C)(CC1=O)O)O)OC(=O)/C=C/C4=CC=CC=C4)C)OC(=O)C)OC(=O)C,"5-Cinnamoyl-9,10-diacetyltaxicin I"
94,O[C@H]1C(O)[C@]2(C([C@H](OC(C)=O)C(C(C)(C)C1=C3C)(O)CC3=O)C([C@H](CC2)OC(/C=C/C4=CC=CC=C4)=O)=C)C,2-O-Acetyl-5-O-cinnamoyltaxicin I
95,CC1=C2[C@H]([C@@H]([C@@]3(CC[C@@H](C(=C)[C@H]3[C@@H]([C@@](C2(C)C)(CC1=O)O)OC(=O)C)OC(=O)/C=C/C4=CC=CC=C4)C)OC(=O)C)OC(=O)C,O-Cinnamoyltaxicin I triacetate
96,CC1=C2[C@H]([C@@H]([C@@]3([C@H](C[C@@H](C(=C)[C@H]3[C@@H]([C@@](C2(C)C)(CC1=O)O)OC(=O)C)OC(=O)/C=C/C4=CC=CC=C4)O)C)OC(=O)C)OC(=O)C,"1beta,7beta-Dihydroxytaxinine"
97,CC1=C2[C@H]([C@@H]([C@@]3([C@H](C[C@@H](C(=C)[C@H]3[C@@H]([C@@](C2(C)C)(CC1=O)O)OC(=O)C)OC(=O)/C=C/C4=CC=CC=C4)OC(=O)C)C)OC(=O)C)OC(=O)C,1beta-hydroxy-7beta-acetoxytaxinine
98,CC(O[C@H]1C(OC(C)=O)[C@]2(C([C@H](OC(C3=CC=CC=C3)=O)C(C(C)(C)C1=C4C)(O)CC4O)C([C@H](CC2)OC(/C=C/C5=CC=CC=C5)=O)=C)C)=O,"9alpha,10beta-Diacetoxy-2alpha-benzoyloxy-5alpha-cinnamoyloxytaxa-4(20),11-diene-1beta,13alpha-diol"
99,CC1=C2[C@H]([C@@H]([C@@]3(CC[C@@H](C(=C)[C@H]3C[C@@H](C2(C)C)C[C@@H]1OC(=O)C)OC(=O)CC(C4=CC=CC=C4)NC)C)OC(=O)C)OC(=O)C,"9alpha,10beta,13alpha-Triacetoxy-5alpha-[(R)-3'-methylamino-3'-phenylpropanoyloxy] taxa-4(20),11-diene"
100,CC1=C2[C@H]([C@@H]([C@@]3(CC[C@@H](C(=C)[C@H]3C[C@@H](C2(C)C)C[C@@H]1OC(=O)C)OC(=O)C[C@H](C4=CC=CC=C4)N(C)C)C)OC(=O)C)OC(=O)C,"7,2'-Didesacetoxyaustrospicatine"
101,CC1=C2[C@H]([C@@H]([C@]3([C@H](C[C@@H](C2(C)C)C[C@@H]1OC(=O)C)C(=C)[C@H](C[C@@H]3OC(=O)C)OC(=O)CC(C4=CC=CC=C4)NC)C)OC(=O)C)OC(=O)C,"7beta,9alpha,10beta,13alpha-Tetraacetoxy-5alpha-[(R)-3'-methylamino-3'-phenylpropanoyloxy]taxa-4(20),11-diene"
